1733088753.1544251,0.938,0.589,0.877,0.578,0.103,0.773,0.938,0.589,0.877,0.578,0.103,0.773
1733088754.1545594,-0.507,-0.109,0.330,-0.470,0.672,0.453,0.432,0.480,1.207,0.108,0.774,1.226
1733088755.1554952,-0.715,0.342,0.725,0.700,0.879,-0.497,-0.283,0.823,1.932,0.808,1.654,0.730
1733088756.1556523,0.588,-0.347,-0.877,0.076,-0.699,-0.106,0.306,0.476,1.055,0.885,0.955,0.624
1733088757.1549888,-0.071,-0.880,-0.884,0.960,0.982,-0.711,0.235,-0.404,0.171,1.845,1.937,-0.087
1733088758.1544676,-0.093,-0.510,0.309,0.210,-0.374,-0.611,0.142,-0.914,0.480,2.055,1.562,-0.698
1733088759.154509,0.169,-0.345,0.366,0.799,-0.574,-0.135,0.311,-1.259,0.846,2.854,0.989,-0.833
1733088760.1542182,0.080,0.637,0.966,0.248,0.463,0.183,0.391,-0.622,1.813,3.101,1.451,-0.650
1733088761.2097344,-0.703,0.882,0.367,-0.512,-0.209,0.210,-0.312,0.261,2.179,2.590,1.242,-0.440
1733088762.1548896,-0.961,-0.419,0.589,-0.997,-0.576,-0.251,-1.273,-0.158,2.769,1.593,0.666,-0.690
1733088763.1545744,0.057,0.175,-0.917,-0.461,-0.807,-0.149,-1.216,0.017,1.852,1.132,-0.142,-0.839
1733088764.1550374,0.844,0.072,0.167,-0.688,0.067,0.177,-0.372,0.089,2.019,0.445,-0.075,-0.662
1733088765.154978,0.516,-0.201,0.512,-0.122,0.588,-0.074,0.144,-0.112,2.531,0.323,0.513,-0.736
1733088766.154317,-0.175,-0.104,0.734,-0.264,-0.071,0.359,-0.031,-0.216,3.266,0.059,0.443,-0.377
1733088767.154471,0.516,-0.693,-0.467,0.746,-0.698,0.951,0.486,-0.909,2.798,0.805,-0.256,0.574
1733088768.1553795,-0.615,0.842,-0.536,0.884,-0.480,0.678,-0.129,-0.067,2.263,1.690,-0.736,1.252
1733088769.1549513,-0.790,0.213,-0.886,0.927,0.637,-0.243,-0.919,0.146,1.377,2.617,-0.099,1.008
1733088770.155088,-0.823,0.097,-0.566,-0.248,-0.037,0.207,-1.742,0.244,0.811,2.369,-0.135,1.215
1733088771.1542096,-0.675,-0.660,-0.607,0.341,-0.009,0.769,-2.418,-0.416,0.203,2.710,-0.144,1.984
1733088772.1547651,-0.297,-0.083,-0.870,0.217,-0.565,0.697,-2.715,-0.499,-0.667,2.927,-0.709,2.681
1733088773.1546798,0.595,0.497,0.988,0.462,-0.165,0.973,-2.120,-0.002,0.321,3.390,-0.874,3.654
1733088774.1550777,-0.776,-0.388,-0.348,-0.950,-0.332,-0.500,-2.896,-0.390,-0.027,2.439,-1.206,3.154
1733088775.1547422,-0.767,0.774,0.866,-0.437,-0.678,-0.880,-3.663,0.384,0.839,2.003,-1.884,2.274
1733088776.1543727,0.577,-0.662,-0.808,0.390,-0.557,0.349,-3.086,-0.278,0.031,2.392,-2.440,2.623
1733088777.1552844,0.745,0.003,0.238,-0.591,0.404,-0.654,-2.342,-0.275,0.269,1.802,-2.037,1.968
1733088778.1559827,-0.092,0.691,0.086,0.337,0.813,0.528,-2.434,0.415,0.356,2.139,-1.224,2.497
1733088779.155166,-0.577,0.121,-0.918,0.257,0.292,0.540,-3.011,0.536,-0.563,2.396,-0.932,3.037
1733088780.1548,0.932,-0.215,0.401,-0.497,0.656,0.421,-2.079,0.321,-0.162,1.899,-0.276,3.458
1733088781.1545198,0.673,0.177,-0.687,0.889,0.940,0.722,-1.406,0.498,-0.849,2.788,0.664,4.179
1733088782.1547287,0.163,0.849,0.207,0.032,-0.911,-0.350,-1.243,1.348,-0.642,2.820,-0.247,3.829
1733088783.1548328,0.879,-0.499,-0.738,0.479,0.520,-0.291,-0.364,0.849,-1.380,3.299,0.273,3.538
1733088784.1542091,0.052,-0.619,0.386,-0.082,-0.291,-0.064,-0.312,0.230,-0.994,3.217,-0.018,3.474
1733088785.1551156,-0.991,-0.917,-0.556,-0.293,-0.249,0.787,-1.303,-0.687,-1.550,2.924,-0.267,4.261
1733088786.1555138,0.949,-0.543,0.991,0.228,0.196,0.663,-0.353,-1.230,-0.559,3.152,-0.071,4.924
1733088787.1551888,-0.417,0.844,0.685,-0.176,0.209,0.123,-0.770,-0.387,0.126,2.976,0.138,5.047
1733088788.155141,0.863,-0.623,-0.560,-0.568,0.944,0.551,0.093,-1.010,-0.433,2.408,1.082,5.598
1733088789.1546,-0.923,-0.432,0.082,0.685,0.679,0.991,-0.830,-1.443,-0.352,3.093,1.761,6.589
1733088790.155973,-0.356,0.493,0.547,0.503,-0.903,-0.167,-1.186,-0.949,0.195,3.596,0.858,6.422
1733088791.1545885,0.633,0.383,0.676,-0.739,-0.008,-0.084,-0.554,-0.566,0.871,2.857,0.850,6.338
1733088792.1558795,-0.907,-0.274,-0.111,-0.937,-0.335,-0.572,-1.461,-0.840,0.760,1.920,0.515,5.766
1733088793.1555822,-0.527,0.541,-0.480,0.665,-0.987,-0.270,-1.988,-0.299,0.280,2.585,-0.472,5.496
1733088794.155937,0.318,-0.988,-0.245,0.969,-0.906,-0.823,-1.670,-1.288,0.034,3.554,-1.378,4.674
